"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"SPICEPREFIX";"VALUE";
"C1";"10UF";"10UF";"C0603";"10.0µF ceramic capacitors";"";"";"";"";"";
"C3";"10UF";"10UF";"C0603";"10.0µF ceramic capacitors";"";"";"";"";"";
"C4";"10UF";"10UF";"C0603";"10.0µF ceramic capacitors";"";"";"";"";"";
"D1";"BLUE";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";
"D11";"RED";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";
"J2";"";"USB_MICRO-B_FEMALE-SMT";"USB-B-MICRO-SMD";"USB Type Micro-B Connector";"CONN-11752";"";"";"";"";
"J3";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J4";"";"CONN_06SMD-1MM";"1X06-1MM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08249";"GPS-00579";"";"";"";
"JP2";"JUMPER-SMT_2_NO_NO-SILK";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"Normally open jumper";"";"";"";"";"";
"R1";"10k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";
"R2";"10k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";
"R3";"10k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";
"R4";"10k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";
"R5";"10k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";
"R6";"330";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";
"R7";"2.0k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";
"R8";"10k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";
"R9";"10k";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";
"R10";"330";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";"";"";"";
"S0";"SMD-SWITCH-6.2MM";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-00815";"";"COM-08229";"";"";
"S1";"SMD-SWITCH-6.2MM";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-00815";"";"COM-08229";"";"";
"S2";"SMD-SWITCH-6.2MM";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-00815";"";"COM-08229";"";"";
"S3";"SMD-SWITCH-6.2MM";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-00815";"";"COM-08229";"";"";
"S4";"SMD-SWITCH-6.2MM";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-00815";"";"COM-08229";"";"";
"S5";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"Single Pole, Double Throw (SPDT) Switch";"SWCH-10651";"";"COM-10860";"";"";
"SJ2";"JUMPER-SMT_3_NO_NO-SILK";"JUMPER-SMT_3_NO_NO-SILK";"SMT-JUMPER_3_NO_NO-SILK";"Normally open jumper";"";"";"";"";"";
"U1";"";"ESP12ESMD";"ESP12E-SMD";"ESP12E Module";"";"";"";"X";"";
"U2";"MCP73831";"MCP73831";"SOT23-5";"MCP73831T Li-Ion, Li-Pol Controller";"IC-09995";"";"";"";"";
"U4";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"VREG-12457";"";"";"";"3.3V";
